th,lh1,lh2,lh3,lh4,lh5,ta,la1,la2,la3,la4,la5,diff
 6.00,-3.57, 2.58, 0.61,-0.40,-4.19,16.00, 8.33, 0.46, 1.30,-5.35, 3.79,-4.00
 2.00, 0.26,-2.52, 0.59,-0.98,-1.84, 9.00, 0.94,-0.94, 1.76, 0.40, 2.08, 0.00
 3.00,-8.33, 1.05,-1.80, 1.04, 0.49,17.00, 6.82, 2.52, 6.59, 2.76, 4.19,-3.00
10.00,-0.65,-0.19, 0.31,-0.82,-3.79,18.00, 0.20, 3.88,-1.76, 0.89, 0.13, 1.00
15.00,-7.54, 0.94, 0.47, 0.95, 0.68, 8.00, 1.74,-2.58,-0.31,-0.44, 5.62, 1.00
 4.00,-8.37,-0.26, 0.19,-0.47,-0.89, 5.00,-4.05,-3.57, 2.58, 0.61,-0.40,-5.00
 8.00, 0.27, 3.57, 0.95, 3.35, 0.98, 3.00,-6.24,-8.33, 1.05,-1.80, 1.04, 3.00
16.00, 4.05, 8.33, 0.46, 1.30,-5.35,18.00, 6.24, 6.82, 2.52, 6.59, 2.76, 0.00
 9.00, 0.95, 0.94,-0.94, 1.76, 0.40,10.00,-0.27,-6.82, 0.94,-0.61, 1.84,-2.00
12.00,-2.52, 7.54, 0.16, 2.00, 0.82, 6.00, 0.73, 0.16,-0.46,-3.35,-2.76,-1.00
 7.00,-0.53, 1.74,-2.58,-0.31,-0.44, 2.00, 2.52,-0.94, 1.05,-6.59,-1.84,-2.00
13.00,-0.73, 0.65,-3.88, 0.07, 0.44,14.00, 8.37,-0.20,-0.16, 1.80, 5.35,-2.00
17.00,-4.32, 0.20, 3.88,-1.76, 0.89, 1.00, 1.04, 0.26,-2.52, 0.59,-0.98, 2.00
11.00, 4.32,-0.65,-0.19, 0.31,-0.82,15.00, 0.53,-7.54, 0.94, 0.47, 0.95, 0.00
10.00, 0.50,-0.27,-6.82, 0.94,-0.61,15.00, 1.25, 4.05, 8.33, 0.46, 1.30, 1.00
16.00, 3.47, 8.37,-0.20,-0.16, 1.80,11.00, 2.00, 4.32,-0.65,-0.19, 0.31, 2.00
 4.00, 2.62, 2.52,-0.94, 1.05,-6.59, 3.00,-0.99,-8.37,-0.26, 0.19,-0.47, 1.00
 5.00, 0.99,-4.05,-3.57, 2.58, 0.61,12.00,-0.30,-2.52, 7.54, 0.16, 2.00,-1.00
18.00, 0.76, 6.24, 6.82, 2.52, 6.59, 9.00, 3.09, 0.27, 3.57, 0.95, 3.35, 2.00
14.00, 0.07, 0.53,-7.54, 0.94, 0.47,13.00,-3.47,-0.73, 0.65,-3.88, 0.07, 0.00
 6.00, 0.30, 0.73, 0.16,-0.46,-3.35,17.00, 2.73,-4.32, 0.20, 3.88,-1.76, 0.00
 2.00,-3.09,-6.24,-8.33, 1.05,-1.80, 8.00,-0.50, 0.95, 0.94,-0.94, 1.76, 1.00
 1.00,-2.73, 1.04, 0.26,-2.52, 0.59, 7.00,-2.62,-0.53, 1.74,-2.58,-0.31, 1.00
14.00, 1.01, 0.07, 0.53,-7.54, 0.94,17.00, 1.20, 2.73,-4.32, 0.20, 3.88, 2.00
 9.00,-6.14, 3.09, 0.27, 3.57, 0.95,15.00,-0.28, 1.25, 4.05, 8.33, 0.46,-2.00
 4.00, 0.44, 2.62, 2.52,-0.94, 1.05,10.00,-4.51, 2.00, 4.32,-0.65,-0.19, 2.00
 3.00, 2.38,-3.09,-6.24,-8.33, 1.05, 2.00,-0.44,-0.99,-8.37,-0.26, 0.19,-1.00
12.00, 0.28, 0.50,-0.27,-6.82, 0.94, 6.00,-0.42,-2.62,-0.53, 1.74,-2.58,-1.00
 5.00,-0.74, 0.99,-4.05,-3.57, 2.58,11.00, 0.98,-3.47,-0.73, 0.65,-3.88,-1.00
18.00, 6.14, 0.76, 6.24, 6.82, 2.52, 8.00,-2.38,-0.50, 0.95, 0.94,-0.94, 2.00
 7.00, 0.72, 0.30, 0.73, 0.16,-0.46,16.00, 4.51, 3.47, 8.37,-0.20,-0.16,-4.00
 1.00, 0.42,-2.73, 1.04, 0.26,-2.52,13.00, 0.74,-0.30,-2.52, 7.54, 0.16,-3.00
15.00, 2.59,-0.28, 1.25, 4.05, 8.33, 6.00, 1.21, 0.44, 2.62, 2.52,-0.94, 4.00
 8.00, 0.61,-0.42,-2.62,-0.53, 1.74,18.00, 1.58, 6.14, 0.76, 6.24, 6.82, 2.00
12.00, 0.19, 0.98,-3.47,-0.73, 0.65, 1.00,-1.51, 0.42,-2.73, 1.04, 0.26,-2.00
16.00,-0.26, 1.20, 2.73,-4.32, 0.20, 4.00,-0.19,-0.74, 0.99,-4.05,-3.57, 2.00
 7.00,-1.58,-2.38,-0.50, 0.95, 0.94, 9.00,-2.59,-6.14, 3.09, 0.27, 3.57, 2.00
10.00,-1.21,-4.51, 2.00, 4.32,-0.65, 5.00,-6.14, 0.72, 0.30, 0.73, 0.16,-1.00
17.00, 6.14, 4.51, 3.47, 8.37,-0.20,14.00, 0.26, 1.01, 0.07, 0.53,-7.54, 5.00
 3.00, 0.51,-0.44,-0.99,-8.37,-0.26,11.00,-0.61, 0.28, 0.50,-0.27,-6.82,-3.00
13.00, 1.51, 0.74,-0.30,-2.52, 7.54, 2.00,-0.51, 2.38,-3.09,-6.24,-8.33, 3.00
 6.00, 0.18,-6.14, 0.72, 0.30, 0.73,13.00,-8.97, 0.26, 1.01, 0.07, 0.53, 0.00
 7.00,-0.37,-2.59,-6.14, 3.09, 0.27, 3.00,-0.85, 0.51,-0.44,-0.99,-8.37, 1.00
15.00, 1.14, 2.59,-0.28, 1.25, 4.05, 8.00, 0.37,-1.58,-2.38,-0.50, 0.95, 5.00
 1.00,-5.34,-0.51, 2.38,-3.09,-6.24,10.00, 0.44, 0.61,-0.42,-2.62,-0.53, 0.00
12.00, 0.85,-0.61, 0.28, 0.50,-0.27,14.00, 5.34, 1.51, 0.74,-0.30,-2.52, 1.00
 4.00,-0.44,-0.19,-0.74, 0.99,-4.05,17.00, 8.97, 6.14, 4.51, 3.47, 8.37,-2.00
18.00,-0.44, 1.58, 6.14, 0.76, 6.24,16.00, 0.44,-0.26, 1.20, 2.73,-4.32, 0.00
 5.00,-1.14, 1.21, 0.44, 2.62, 2.52,11.00,-0.89, 0.19, 0.98,-3.47,-0.73, 4.00
 2.00, 0.89,-1.51, 0.42,-2.73, 1.04, 9.00,-0.18,-1.21,-4.51, 2.00, 4.32,-2.00
 8.00, 0.93, 0.44, 0.61,-0.42,-2.62, 9.00, 2.88,-0.37,-2.59,-6.14, 3.09, 5.00
11.00,-6.89,-0.89, 0.19, 0.98,-3.47,12.00, 0.18, 0.85,-0.61, 0.28, 0.50, 1.00
 6.00, 0.72, 0.18,-6.14, 0.72, 0.30, 4.00,-1.09,-0.44,-0.19,-0.74, 0.99,-2.00
13.00, 1.23,-8.97, 0.26, 1.01, 0.07, 1.00,-0.23, 0.89,-1.51, 0.42,-2.73, 0.00
 3.00,-2.88,-0.85, 0.51,-0.44,-0.99, 7.00,-3.95, 0.37,-1.58,-2.38,-0.50,-2.00
10.00, 0.23,-0.18,-1.21,-4.51, 2.00, 2.00, 1.06,-5.34,-0.51, 2.38,-3.09, 0.00
14.00,-0.18, 5.34, 1.51, 0.74,-0.30,16.00, 3.95, 1.14, 2.59,-0.28, 1.25, 1.00
18.00, 1.09, 8.97, 6.14, 4.51, 3.47,17.00, 1.35,-0.44, 1.58, 6.14, 0.76, 0.00
15.00,-0.34, 3.95, 1.14, 2.59,-0.28,10.00, 1.52, 0.93, 0.44, 0.61,-0.42, 4.00
 7.00,-1.52, 2.88,-0.37,-2.59,-6.14,11.00, 0.22,-6.89,-0.89, 0.19, 0.98, 0.00
12.00,-0.22, 0.18, 0.85,-0.61, 0.28, 9.00, 0.92, 0.23,-0.18,-1.21,-4.51,-1.00
 1.00, 1.09,-0.23, 0.89,-1.51, 0.42, 5.00,-0.51, 0.72, 0.18,-6.14, 0.72,-1.00
17.00, 0.71, 1.35,-0.44, 1.58, 6.14, 2.00,-1.54,-2.88,-0.85, 0.51,-0.44, 3.00
 8.00, 1.54,-3.95, 0.37,-1.58,-2.38,14.00, 0.34,-0.18, 5.34, 1.51, 0.74,-1.00
 3.00, 1.08, 1.06,-5.34,-0.51, 2.38,16.00, 0.23, 0.64, 0.44,-0.26, 1.20,-3.00
 6.00,-0.23, 6.89,-1.14, 1.21, 0.44,18.00, 1.29, 1.09, 8.97, 6.14, 4.51,-3.00
 4.00, 0.51,-1.09,-0.44,-0.19,-0.74,13.00, 0.90, 1.23,-8.97, 0.26, 1.01, 0.00
18.00, 4.40, 1.29, 1.09, 8.97, 6.14, 1.00,-0.48, 1.09,-0.23, 0.89,-1.51, 1.00
12.00, 1.32, 0.22,-6.89,-0.89, 0.19, 3.00,-2.83, 1.08, 1.06,-5.34,-0.51,-2.00
 6.00, 0.48,-0.51, 0.72, 0.18,-6.14, 5.00,-4.40,-0.23, 6.89,-1.14, 1.21,-5.00
16.00, 2.83, 0.23, 0.64, 0.44,-0.26,11.00,-0.26,-0.22, 0.18, 0.85,-0.61, 0.00
 2.00,-2.34,-1.54,-2.88,-0.85, 0.51,15.00, 6.65,-0.34, 3.95, 1.14, 2.59,-2.00
13.00, 0.77, 0.90, 1.23,-8.97, 0.26,17.00, 2.34, 0.71, 1.35,-0.44, 1.58,-5.00
14.00, 0.24, 0.34,-0.18, 5.34, 1.51, 8.00, 0.65,-1.52, 2.88,-0.37,-2.59, 2.00
10.00, 0.26, 0.92, 0.23,-0.18,-1.21, 4.00, 1.25, 0.51,-1.09,-0.44,-0.19, 4.00
 9.00,-6.65, 1.52, 0.93, 0.44, 0.61, 7.00,-0.24, 1.54,-3.95, 0.37,-1.58,-1.00
 3.00, 0.67,-2.83, 1.08, 1.06,-5.34, 5.00,-4.04, 0.48,-0.51, 0.72, 0.18, 0.00
 7.00,-0.24, 0.65,-1.52, 2.88,-0.37,16.00, 0.97, 2.83, 0.23, 0.64, 0.44,-1.00
15.00, 2.61, 6.65,-0.34, 3.95, 1.14,10.00,-0.67, 1.32, 0.22,-6.89,-0.89, 1.00
11.00, 1.02,-0.26,-0.22, 0.18, 0.85,18.00, 5.81, 4.40, 1.29, 1.09, 8.97,-6.00
 4.00,-1.88, 1.25, 0.51,-1.09,-0.44, 1.00,-5.81,-0.48, 1.09,-0.23, 0.89, 2.00
 6.00, 4.04,-4.40,-0.23, 6.89,-1.14,13.00,-6.72, 0.77, 0.90, 1.23,-8.97, 3.00
 9.00, 0.23,-0.24, 1.54,-3.95, 0.37,12.00, 1.88, 0.26, 0.92, 0.23,-0.18, 0.00
17.00, 6.72, 2.34, 0.71, 1.35,-0.44,14.00, 0.24, 0.24, 0.34,-0.18, 5.34, 0.00
 1.00,-0.86,-5.81,-0.48, 1.09,-0.23, 7.00, 2.94, 4.04,-4.40,-0.23, 6.89,-1.00
10.00,-0.71,-0.67, 1.32, 0.22,-6.89, 8.00, 0.70, 0.23,-0.24, 1.54,-3.95, 2.00
 5.00, 1.13,-4.04, 0.48,-0.51, 0.72, 2.00,-0.71,-2.61,-2.34,-1.54,-2.88, 0.00
14.00, 1.18, 0.24, 0.24, 0.34,-0.18, 9.00, 0.71,-0.23,-6.65, 1.52, 0.93, 4.00
13.00,-2.94,-6.72, 0.77, 0.90, 1.23,11.00,-8.60, 1.02,-0.26,-0.22, 0.18, 0.00
12.00, 1.29, 1.88, 0.26, 0.92, 0.23,17.00, 0.82, 6.72, 2.34, 0.71, 1.35, 0.00
16.00, 2.05, 0.97, 2.83, 0.23, 0.64,15.00, 0.71, 2.61, 6.65,-0.34, 3.95,-1.00
18.00, 8.60, 5.81, 4.40, 1.29, 1.09, 6.00,-2.05,-0.24, 0.65,-1.52, 2.88, 2.00
 4.00, 0.86,-1.88, 1.25, 0.51,-1.09, 3.00, 0.87, 0.67,-2.83, 1.08, 1.06, 0.00
15.00, 0.64, 0.44,-0.26, 1.20, 2.73, 5.00, 6.89,-1.14, 1.21, 0.44, 2.62, 1.00
 5.00,-3.96,-2.05,-0.24, 0.65,-1.52,12.00, 1.08, 1.29, 1.88, 0.26, 0.92,-1.00
17.00, 0.25, 0.71, 2.61, 6.65,-0.34,13.00, 1.27,-2.94,-6.72, 0.77, 0.90, 4.00
 3.00, 1.72, 0.87, 0.67,-2.83, 1.08, 1.00,-0.94,-0.86,-5.81,-0.48, 1.09, 0.00
10.00, 0.71,-8.60, 1.02,-0.26,-0.22, 6.00, 1.36, 1.13,-4.04, 0.48,-0.51,-3.00
16.00, 0.93, 0.82, 6.72, 2.34, 0.71,11.00, 1.57,-0.71,-0.67, 1.32, 0.22, 0.00
 8.00,-1.19, 0.71,-0.23,-6.65, 1.52,15.00,-0.25, 2.05, 0.97, 2.83, 0.23,-2.00
 9.00, 0.94, 2.94, 4.04,-4.40,-0.23, 4.00, 0.30, 0.86,-1.88, 1.25, 0.51, 0.00
 7.00,-1.57, 0.70, 0.23,-0.24, 1.54,18.00, 3.96, 8.60, 5.81, 4.40, 1.29,-2.00
 2.00, 0.62,-0.71,-2.61,-2.34,-1.54,14.00, 1.19, 1.18, 0.24, 0.24, 0.34,-3.00
 7.00, 0.83, 1.36, 1.13,-4.04, 0.48, 6.00,-2.23,-1.57, 0.70, 0.23,-0.24, 4.00
12.00, 0.34, 1.57,-0.71,-0.67, 1.32, 2.00,-3.52, 0.62,-0.71,-2.61,-2.34,-1.00
16.00, 0.70,-0.25, 2.05, 0.97, 2.83,14.00, 3.52, 1.19, 1.18, 0.24, 0.24,-2.00
 1.00, 0.89,-0.94,-0.86,-5.81,-0.48,10.00,-0.83, 0.71,-8.60, 1.02,-0.26, 0.00
13.00, 2.09, 1.08, 1.29, 1.88, 0.26,17.00, 0.96, 0.25, 0.71, 2.61, 6.65,-2.00
18.00, 2.23, 3.96, 8.60, 5.81, 4.40, 8.00,-0.70,-1.19, 0.71,-0.23,-6.65, 3.00
11.00,-0.96, 1.27,-2.94,-6.72, 0.77, 5.00,-2.09,-3.96,-2.05,-0.24, 0.65,-3.00
 4.00, 0.95, 0.30, 0.86,-1.88, 1.25,15.00, 1.59, 0.93, 0.82, 6.72, 2.34,-5.00
 9.00, 1.05, 0.94, 2.94, 4.04,-4.40, 3.00, 1.10, 1.72, 0.87, 0.67,-2.83, 0.00
17.00, 1.54, 0.96, 0.25, 0.71, 2.61,18.00, 5.18, 2.23, 3.96, 8.60, 5.81,-1.00
 7.00,-5.18,-0.70,-1.19, 0.71,-0.23,12.00,-0.24, 0.34, 1.57,-0.71,-0.67, 0.00
15.00, 0.91, 3.52, 1.19, 1.18, 0.24,13.00,-1.54, 2.09, 1.08, 1.29, 1.88,-3.00
 2.00, 0.24,-3.52, 0.62,-0.71,-2.61,14.00,-0.91, 0.70,-0.25, 2.05, 0.97, 0.00
16.00, 5.34, 1.59, 0.93, 0.82, 6.72, 8.00, 3.22, 0.83, 1.36, 1.13,-4.04, 0.00
 6.00, 0.27,-2.09,-3.96,-2.05,-0.24, 1.00, 0.68, 0.89,-0.94,-0.86,-5.81, 0.00
 3.00, 0.77, 1.10, 1.72, 0.87, 0.67,11.00,-0.27,-0.96, 1.27,-2.94,-6.72, 1.00
10.00, 1.25,-0.83, 0.71,-8.60, 1.02, 9.00, 1.20, 1.05, 0.94, 2.94, 4.04, 2.00
 5.00,-3.22,-2.23,-1.57, 0.70, 0.23, 4.00,-5.34, 0.95, 0.30, 0.86,-1.88, 0.00
11.00,-0.07,-0.24, 0.34, 1.57,-0.71,14.00,-1.27, 0.91, 3.52, 1.19, 1.18,-1.00
 9.00, 1.19, 3.22, 0.83, 1.36, 1.13, 6.00, 0.88, 0.27,-2.09,-3.96,-2.05, 2.00
 4.00, 0.98,-5.34, 0.95, 0.30, 0.86,12.00, 0.40, 1.25,-0.83, 0.71,-8.60,-1.00
10.00,-4.59,-0.27,-0.96, 1.27,-2.94, 2.00, 1.40, 0.24,-3.52, 0.62,-0.71,-1.00
13.00, 1.27,-1.54, 2.09, 1.08, 1.29, 7.00, 2.18,-5.18,-0.70,-1.19, 0.71,-1.00
18.00, 0.89, 5.18, 2.23, 3.96, 8.60, 3.00, 4.59, 0.77, 1.10, 1.72, 0.87, 5.00
15.00, 0.66,-0.91, 0.70,-0.25, 2.05, 5.00, 1.01,-3.22,-2.23,-1.57, 0.70, 3.00
 1.00, 1.13, 0.68, 0.89,-0.94,-0.86,17.00,-0.89, 1.54, 0.96, 0.25, 0.71,-5.00
 8.00,-0.40, 1.20, 1.05, 0.94, 2.94,16.00, 0.83, 5.34, 1.59, 0.93, 0.82,-2.00
 2.00,-2.61,-2.34,-1.54,-2.88,-0.85, 8.00,-0.23,-6.65, 1.52, 0.93, 0.44,-3.00
11.00,-0.65,-0.07,-0.24, 0.34, 1.57,15.00, 2.02, 0.66,-0.91, 0.70,-0.25, 1.00
 8.00, 0.22, 2.18,-5.18,-0.70,-1.19, 4.00,-0.46, 0.98,-5.34, 0.95, 0.30,-2.00
 3.00,-5.74, 4.59, 0.77, 1.10, 1.72,12.00, 0.46, 0.40, 1.25,-0.83, 0.71, 0.00
14.00, 0.65,-1.27, 0.91, 3.52, 1.19,18.00, 5.74, 0.89, 5.18, 2.23, 3.96,-2.00
16.00, 4.14, 0.83, 5.34, 1.59, 0.93, 1.00,-4.62, 1.13, 0.68, 0.89,-0.94, 0.00
17.00, 4.62,-0.89, 1.54, 0.96, 0.25,10.00, 1.70, 1.19, 3.22, 0.83, 1.36, 1.00
 2.00, 0.86, 1.40, 0.24,-3.52, 0.62,13.00,-0.22, 1.27,-1.54, 2.09, 1.08,-1.00
 5.00,-2.02, 1.01,-3.22,-2.23,-1.57, 9.00,-0.86,-4.59,-0.27,-0.96, 1.27, 0.00
 6.00,-1.70, 0.88, 0.27,-2.09,-3.96, 7.00,-4.14,-0.40, 1.20, 1.05, 0.94, 0.00
12.00, 0.46, 0.46, 0.40, 1.25,-0.83,16.00, 0.70, 4.14, 0.83, 5.34, 1.59,-2.00
 7.00, 0.52,-4.14,-0.40, 1.20, 1.05, 5.00, 1.48,-2.02, 1.01,-3.22,-2.23,-1.00
 3.00, 1.64,-5.74, 4.59, 0.77, 1.10,17.00, 3.26, 4.62,-0.89, 1.54, 0.96,-1.00
10.00,-3.26, 1.70, 1.19, 3.22, 0.83, 8.00,-2.60, 0.22, 2.18,-5.18,-0.70,-3.00
 1.00, 1.35,-4.62, 1.13, 0.68, 0.89, 2.00,-0.45, 0.86, 1.40, 0.24,-3.52,-4.00
13.00, 0.45,-0.22, 1.27,-1.54, 2.09,11.00, 0.38,-0.65,-0.07,-0.24, 0.34, 0.00
18.00, 1.92, 5.74, 0.89, 5.18, 2.23,15.00,-0.38, 2.02, 0.66,-0.91, 0.70, 1.00
 4.00, 2.60,-0.46, 0.98,-5.34, 0.95, 6.00, 1.49,-1.70, 0.88, 0.27,-2.09,-1.00
 9.00, 0.55,-0.86,-4.59,-0.27,-0.96,14.00,-1.92, 0.65,-1.27, 0.91, 3.52, 0.00
14.00,-1.94,-0.38, 2.02, 0.66,-0.91,13.00, 1.32, 0.45,-0.22, 1.27,-1.54, 3.00
11.00, 0.66, 0.38,-0.65,-0.07,-0.24, 8.00,-5.61,-3.26, 1.70, 1.19, 3.22, 1.00
 5.00, 0.68, 1.48,-2.02, 1.01,-3.22, 1.00,-0.72, 1.35,-4.62, 1.13, 0.68, 1.00
 2.00, 0.72,-0.45, 0.86, 1.40, 0.24,18.00, 1.94, 1.92, 5.74, 0.89, 5.18,-1.00
 9.00, 5.61,-2.60, 0.22, 2.18,-5.18,10.00, 0.60, 0.55,-0.86,-4.59,-0.27, 1.00
 6.00, 0.22, 1.49,-1.70, 0.88, 0.27,12.00,-0.38, 0.46, 0.46, 0.40, 1.25,-2.00
17.00, 0.31, 3.26, 4.62,-0.89, 1.54, 4.00,-0.22, 2.60,-0.46, 0.98,-5.34,-2.00
15.00, 1.35,-1.92, 0.65,-1.27, 0.91, 7.00,-0.68, 0.52,-4.14,-0.40, 1.20, 2.00
16.00, 0.38, 0.70, 4.14, 0.83, 5.34, 3.00,-0.31, 1.64,-5.74, 4.59, 0.77, 0.00
18.00, 4.20, 1.94, 1.92, 5.74, 0.89,11.00, 1.46, 0.66, 0.38,-0.65,-0.07, 2.00
 6.00,-3.45,-0.68, 0.52,-4.14,-0.40,10.00, 1.77, 5.61,-2.60, 0.22, 2.18, 0.00
 3.00, 0.90,-0.31, 1.64,-5.74, 4.59, 5.00,-0.71, 0.22, 1.49,-1.70, 0.88, 0.00
 8.00,-1.46,-5.61,-3.26, 1.70, 1.19,15.00, 3.45, 1.35,-1.92, 0.65,-1.27, 2.00
12.00, 0.71,-0.38, 0.46, 0.46, 0.40, 7.00, 0.96, 0.68, 1.48,-2.02, 1.01, 4.00
 4.00, 0.65,-0.22, 2.60,-0.46, 0.98, 2.00,-4.20, 0.72,-0.45, 0.86, 1.40, 2.00
 1.00,-0.96,-0.72, 1.35,-4.62, 1.13,14.00, 0.50,-1.94,-0.38, 2.02, 0.66,-2.00
16.00, 1.04, 0.38, 0.70, 4.14, 0.83,17.00,-0.65, 0.31, 3.26, 4.62,-0.89,-2.00
 9.00,-1.77, 0.60, 0.55,-0.86,-4.59,13.00,-0.50, 1.32, 0.45,-0.22, 1.27,-3.00
 4.00, 0.98,-0.71, 0.22, 1.49,-1.70,16.00,-0.79, 1.04, 0.38, 0.70, 4.14,-1.00
17.00, 0.79,-0.65, 0.31, 3.26, 4.62,12.00, 4.51, 0.71,-0.38, 0.46, 0.46,-4.00
10.00, 1.18, 1.77, 5.61,-2.60, 0.22, 1.00,-4.79,-0.96,-0.72, 1.35,-4.62, 1.00
11.00,-5.35, 1.46, 0.66, 0.38,-0.65, 8.00,-0.96,-1.77, 0.60, 0.55,-0.86, 4.00
14.00,-1.34, 3.45, 1.35,-1.92, 0.65, 6.00, 1.72, 0.65,-0.22, 2.60,-0.46, 1.00
15.00, 4.79, 0.50,-1.94,-0.38, 2.02, 9.00, 1.34,-1.46,-5.61,-3.26, 1.70, 1.00
 7.00,-4.51, 0.96, 0.68, 1.48,-2.02, 3.00, 1.02, 0.90,-0.31, 1.64,-5.74, 3.00
 2.00,-1.72,-4.20, 0.72,-0.45, 0.86, 5.00, 0.81,-3.45,-0.68, 0.52,-4.14, 5.00
13.00, 0.96,-0.50, 1.32, 0.45,-0.22,18.00, 5.35, 4.20, 1.94, 1.92, 5.74,-4.00
14.00,-1.14, 1.27, 0.25, 0.94, 1.59,12.00, 1.17, 1.20,-0.90, 1.29, 0.90, 2.00
17.00,-0.22, 1.16, 3.57, 5.74, 7.48,15.00, 0.83, 4.42,-0.76, 0.60, 0.47,-3.00
18.00, 1.82, 5.46, 0.64, 3.56, 0.94,11.00, 3.57, 0.78,-0.25,-3.31, 1.56, 1.00
 4.00,-2.42,-0.25, 1.44, 0.17, 0.75, 2.00, 0.56,-0.24,-3.57,-0.60,-0.31,-2.00
 1.00,-3.96,-1.27,-3.54,-0.27, 1.05, 3.00, 1.14,-4.42, 0.48, 1.09,-7.48, 2.00
10.00,-0.56, 0.79,-2.52, 3.31, 0.47,16.00, 0.22,-1.27, 0.76, 0.71, 0.31, 0.00
 6.00,-3.57, 0.24, 0.90, 0.92,-3.92, 5.00,-1.82, 0.25, 2.52,-5.74,-0.90, 0.00
 8.00,-2.48, 1.27, 1.42,-0.17, 3.92, 7.00, 3.96,-4.42, 1.12,-3.56,-1.59,-1.00
13.00, 2.48, 4.42, 0.88, 0.27, 1.27, 9.00, 2.42,-5.46, 3.54, 1.06, 1.59, 6.00
12.00, 0.17, 3.96,-4.42, 1.12,-3.56, 2.00,-2.55,-2.42,-0.25, 1.44, 0.17, 6.00
 9.00,-3.02, 3.57, 0.78,-0.25,-3.31,17.00, 6.72, 2.48, 4.42, 0.88, 0.27, 0.00
 5.00, 1.19,-1.82, 0.25, 2.52,-5.74, 3.00, 0.77,-3.96,-1.27,-3.54,-0.27, 0.00
 7.00,-6.72, 2.42,-5.46, 3.54, 1.06, 6.00,-0.17,-2.48, 1.27, 1.42,-0.17,-2.00
 4.00, 2.55, 0.56,-0.24,-3.57,-0.60,15.00, 1.96,-1.14, 1.27, 0.25, 0.94,-2.00
 1.00,-0.77, 1.14,-4.42, 0.48, 1.09,18.00, 3.02, 1.82, 5.46, 0.64, 3.56,-4.00
10.00,-1.96, 1.17, 1.20,-0.90, 1.29,13.00,-1.36,-0.22, 1.16, 3.57, 5.74,-2.00
14.00, 0.63, 0.22,-1.27, 0.76, 0.71, 8.00, 0.82,-3.57, 0.24, 0.90, 0.92, 0.00
16.00, 1.36, 0.83, 4.42,-0.76, 0.60,11.00, 1.40,-0.56, 0.79,-2.52, 3.31, 4.00
 8.00, 0.74, 0.82,-3.57, 0.24, 0.90,17.00, 1.19, 1.36, 0.83, 4.42,-0.76, 2.00
18.00, 0.95, 3.02, 1.82, 5.46, 0.64,13.00, 1.22, 0.63, 0.22,-1.27, 0.76, 0.00
 1.00,-5.18,-2.55,-2.42,-0.25, 1.44, 9.00,-5.33,-1.96, 1.17, 1.20,-0.90,-3.00
 4.00, 0.66, 0.77,-3.96,-1.27,-3.54,10.00, 0.76,-3.02, 3.57, 0.78,-0.25,-1.00
11.00, 7.32,-0.17,-2.48, 1.27, 1.42, 2.00,-0.95,-0.77, 1.14,-4.42, 0.48, 4.00
 7.00,-1.19, 1.40,-0.56, 0.79,-2.52,15.00, 5.33,-1.36,-0.22, 1.16, 3.57,-1.00
 5.00,-7.32,-6.72, 2.42,-5.46, 3.54,12.00, 5.18, 0.17, 3.96,-4.42, 1.12, 0.00
14.00, 1.20, 6.72, 2.48, 4.42, 0.88, 3.00,-0.55, 2.55, 0.56,-0.24,-3.57, 0.00
16.00, 0.55, 1.96,-1.14, 1.27, 0.25, 6.00, 1.32, 1.19,-1.82, 0.25, 2.52,-4.00
 1.00,-6.60,-0.95,-0.77, 1.14,-4.42,12.00, 0.86, 5.18, 0.17, 3.96,-4.42,-3.00
10.00, 0.29, 0.76,-3.02, 3.57, 0.78, 5.00, 1.15,-7.32,-6.72, 2.42,-5.46, 0.00
17.00, 5.52, 5.33,-1.36,-0.22, 1.16, 8.00, 1.74, 0.74, 0.82,-3.57, 0.24, 0.00
13.00, 0.63, 1.22, 0.63, 0.22,-1.27,14.00, 1.20, 1.20, 6.72, 2.48, 4.42,-3.00
 7.00, 1.93, 1.32, 1.19,-1.82, 0.25,11.00, 6.60, 7.32,-0.17,-2.48, 1.27,-3.00
 4.00, 0.72,-0.55, 2.55, 0.56,-0.24, 3.00,-0.29, 0.66, 0.77,-3.96,-1.27, 2.00
 9.00, 4.60,-5.33,-1.96, 1.17, 1.20,18.00, 1.33, 0.95, 3.02, 1.82, 5.46,-1.00
 6.00,-5.52,-1.19, 1.40,-0.56, 0.79,15.00,-1.93, 0.55, 1.96,-1.14, 1.27, 1.00
16.00,-1.74, 1.19, 1.36, 0.83, 4.42, 2.00,-4.60,-5.18,-2.55,-2.42,-0.25, 3.00
 3.00,-0.99,-0.29, 0.66, 0.77,-3.96, 8.00,-1.14, 4.60,-5.33,-1.96, 1.17, 1.00
18.00, 1.14, 1.33, 0.95, 3.02, 1.82,16.00, 1.62, 5.52, 5.33,-1.36,-0.22, 1.00
 2.00,-3.22,-4.60,-5.18,-2.55,-2.42,11.00,-5.69, 0.63, 1.22, 0.63, 0.22, 3.00
 9.00, 0.25, 1.74, 0.74, 0.82,-3.57, 7.00, 0.73,-5.52,-1.19, 1.40,-0.56,-2.00
12.00, 0.61, 6.60, 7.32,-0.17,-2.48,10.00, 1.02, 0.29, 0.76,-3.02, 3.57, 1.00
 4.00, 0.97, 1.15,-7.32,-6.72, 2.42, 1.00,-3.12,-6.60,-0.95,-0.77, 1.14,-2.00
